Service,01/01/2024,01/02/2024,01/03/2024,01/04/2024,01/05/2024,01/06/2024,01/07/2024,01/08/2024,01/09/2024
CK Discounts ($),2247.63,2147.01,2434.81,2401.74,2540.84,2434.58,2512.57,2674.64,2658.06
Bill before discount,21460.11,20318.46,23876.66,23825.1,24740.2,24505.42,26011.36,28496.83,27745.76
Bill after discount,19212.48,18171.45,21441.85,21423.36,22199.36,22070.84,23498.79,25822.19,25087.7
